,experiment_id,section_thickness,specimen_id,plane,gene,gene_name,chromosome_id,entrez_id,genomic_reference_update_id,homologene_id,organism_id
18,1806,25,702806,coronal,Pde4a,"phosphodiesterase 4A, cAMP specific",54.0,18577.0,491928275.0,4520.0,2
19,71717305,25,70999140,coronal,Galnt16,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 16,37.0,108760.0,491928275.0,18907.0,2
20,71717143,25,70981815,coronal,Spg21,spastic paraplegia 21 homolog (human),54.0,27965.0,491928275.0,9603.0,2
21,71717125,25,70971100,coronal,Zbtb16,zinc finger and BTB domain containing 16,54.0,235320.0,491928275.0,21214.0,2
22,71717115,25,70971100,coronal,Tnc,tenascin C,49.0,21923.0,491928275.0,55636.0,2
23,73992943,25,72010441,coronal,Ablim3,"actin binding LIM protein family, member 3",44.0,319713.0,491928275.0,69175.0,2
24,73994671,25,72010445,coronal,Ids,iduronate 2-sulfatase,57.0,15931.0,491928275.0,169.0,2
25,70805895,25,70101632,coronal,Eepd1,endonuclease/exonuclease/phosphatase family domain containing 1,54.0,67484.0,491928275.0,12144.0,2
26,73997149,25,72134960,coronal,Pkp2,plakophilin 2,42.0,67451.0,491928275.0,3364.0,2
27,70560342,25,69914393,coronal,Cckbr,cholecystokinin B receptor,52.0,12426.0,491928275.0,7258.0,2
28,71670739,25,70929707,coronal,Midn,midnolin,35.0,59090.0,491928275.0,32510.0,2
29,79567501,25,79355491,coronal,Adcy2,adenylate cyclase 2,39.0,210044.0,491928275.0,75133.0,2
30,77869097,25,77529362,coronal,Col6a1,"collagen, type VI, alpha 1",35.0,12833.0,491928275.0,1391.0,2
31,74047758,25,72135259,coronal,C4b,complement component 4B (Chido blood group),43.0,12268.0,491928275.0,36030.0,2
32,71670730,25,70911447,coronal,Slc9a9,"solute carrier family 9 (sodium/hydrogen exchanger), member 9",54.0,331004.0,491928275.0,69753.0,2
33,670,25,702625,coronal,Marcksl1,MARCKS-like 1,49.0,17357.0,491928275.0,40748.0,2
34,71670733,25,70911361,coronal,Tas2r144,"taste receptor, type 2, member 144",51.0,387515.0,491928275.0,47977.0,2
35,308056322,25,305626533,coronal,Efna1,ephrin A1,48.0,13636.0,491928275.0,3262.0,2
36,71670738,25,70911361,coronal,Pcdh20,protocadherin 20,40.0,219257.0,491928275.0,11277.0,2
37,2115,25,702872,coronal,Nudt21,nudix (nucleoside diphosphate linked moiety X)-type motif 21,53.0,68219.0,491928275.0,5090.0,2
38,2495,25,702872,coronal,Pparg,peroxisome proliferator activated receptor gamma,51.0,19016.0,491928275.0,7899.0,2
39,2347,25,702872,coronal,Kdr,kinase insert domain protein receptor,50.0,16542.0,491928275.0,55639.0,2
40,71670723,25,70896947,coronal,Krt9,keratin 9,36.0,107656.0,491928275.0,47911.0,2
41,2717,25,702868,coronal,Dcaf4,DDB1 and CUL4 associated factor 4,37.0,73828.0,491928275.0,9210.0,2
42,2659,25,702868,coronal,Tcf19,transcription factor 19,43.0,106795.0,491928275.0,5156.0,2
43,2625,25,702872,coronal,Slco4a1,"solute carrier organic anion transporter family, member 4a1",47.0,108115.0,491928275.0,9482.0,2
44,1766,25,702822,coronal,Ldlr,low density lipoprotein receptor,54.0,16835.0,491928275.0,55469.0,2
45,2153,25,702865,coronal,Dnajb12,"DnaJ (Hsp40) homolog, subfamily B, member 12",35.0,56709.0,491928275.0,9749.0,2
46,2637,25,702864,coronal,Stat3,signal transducer and activator of transcription 3,36.0,20848.0,491928275.0,7960.0,2
47,2434,25,702864,coronal,Nr2e3,"nuclear receptor subfamily 2, group E, member 3",54.0,23958.0,491928275.0,84397.0,2
48,2307,25,702864,coronal,Hunk,hormonally upregulated Neu-associated kinase,42.0,26559.0,491928275.0,8742.0,2
49,2057,25,702863,coronal,Barx2,BarH-like homeobox 2,54.0,12023.0,491928275.0,2715.0,2
50,74511924,25,73620041,coronal,Sorl1,"sortilin-related receptor, LDLR class A repeats-containing",54.0,20660.0,491928275.0,2336.0,2
51,74511790,25,73573680,coronal,Mc3r,melanocortin 3 receptor,47.0,17201.0,491928275.0,7412.0,2
52,76115730,25,75749824,coronal,Itgb1,integrin beta 1 (fibronectin receptor beta),53.0,16412.0,491928275.0,22999.0,2
53,75826568,25,75195283,coronal,Chrna9,"cholinergic receptor, nicotinic, alpha polypeptide 9",50.0,231252.0,491928275.0,9729.0,2
54,75551474,25,75064115,coronal,P2rx4,"purinergic receptor P2X, ligand-gated ion channel 4",50.0,18438.0,491928275.0,1923.0,2
55,75551465,25,75063998,coronal,Chrna1,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",47.0,11435.0,491928275.0,59.0,2
56,75147765,25,75037014,coronal,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",35.0,268345.0,491928275.0,71199.0,2
57,75042270,25,74865111,coronal,Scara3,"scavenger receptor class A, member 3",40.0,219151.0,491928275.0,9437.0,2
58,75043139,25,74865115,coronal,Tead1,TEA domain family member 1,52.0,21676.0,491928275.0,2418.0,2
59,75041575,25,74834150,coronal,Dscaml1,Down syndrome cell adhesion molecule like 1,54.0,114873.0,491928275.0,79549.0,2
60,75041463,25,74834097,coronal,Lrrc4,leucine rich repeat containing 4,51.0,192198.0,491928275.0,36403.0,2
61,74819256,25,74553737,coronal,Il13ra1,"interleukin 13 receptor, alpha 1",57.0,16164.0,491928275.0,1198.0,2
62,74357571,25,73440263,coronal,Rgs5,regulator of G-protein signaling 5,34.0,19737.0,491928275.0,2682.0,2
63,748,25,702687,coronal,Oaz2,ornithine decarboxylase antizyme 2,54.0,18247.0,491928275.0,31094.0,2
64,74272905,25,72963884,coronal,Tll1,tolloid-like,53.0,21892.0,491928275.0,49202.0,2
65,74047912,25,72172807,coronal,P3h3,prolyl 3-hydroxylase 3,51.0,14789.0,491928275.0,8401.0,2
66,74047911,25,72172807,coronal,Ifit3,interferon-induced protein with tetratricopeptide repeats 3,45.0,15959.0,491928275.0,128285.0,2
67,73992715,25,71993695,coronal,Cd63,CD63 antigen,35.0,12512.0,491928275.0,37526.0,2
68,2199,25,702863,coronal,Ets1,"E26 avian leukemia oncogene 1, 5' domain",54.0,23871.0,491928275.0,3837.0,2
69,71836844,25,71061925,coronal,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",48.0,11928.0,491928275.0,564.0,2
70,74272466,25,72962948,coronal,Atp9b,"ATPase, class II, type 9B",44.0,50771.0,491928275.0,21915.0,2
71,71924165,25,71101536,coronal,Vgf,VGF nerve growth factor inducible,50.0,381677.0,491928275.0,2536.0,2
72,71250306,25,70429673,coronal,Sowaha,sosondowah ankyrin repeat domain family member A,36.0,237761.0,491928275.0,18488.0,2
73,71015377,25,70298629,coronal,Ctsz,cathepsin Z,47.0,64138.0,491928275.0,1022.0,2
74,795,25,702689,coronal,Pfkl,"phosphofructokinase, liver, B-type",35.0,18641.0,491928275.0,55668.0,2
75,70813924,25,70101652,coronal,Kctd9,potassium channel tetramerisation domain containing 9,40.0,105440.0,491928275.0,9754.0,2
76,74047925,25,72962232,coronal,Ank3,"ankyrin 3, epithelial",35.0,11735.0,491928275.0,56908.0,2
77,77371773,25,77281678,coronal,Hbb-b2,"hemoglobin, beta adult minor chain",52.0,15130.0,491928275.0,,2
78,1079,25,702689,coronal,Ttc3,tetratricopeptide repeat domain 3,42.0,22129.0,491928275.0,2487.0,2
79,75651126,25,75064248,coronal,Neurod2,neurogenic differentiation 2,36.0,18013.0,491928275.0,4489.0,2
80,75651162,25,75064045,coronal,Zfpm2,"zinc finger protein, multitype 2",41.0,22762.0,491928275.0,8008.0,2
81,70813925,25,70101652,coronal,Parvg,"parvin, gamma",41.0,64099.0,491928275.0,11151.0,2
82,74047904,25,72172843,coronal,Nedd4l,"neural precursor cell expressed, developmentally down-regulated gene 4-like",44.0,83814.0,491928275.0,86986.0,2
83,79488955,25,79322568,coronal,Avpr1b,arginine vasopressin receptor 1B,34.0,26361.0,491928275.0,22678.0,2
84,77371821,25,77281682,coronal,Sstr2,somatostatin receptor 2,36.0,20606.0,491928275.0,37427.0,2
85,76135740,25,75819066,coronal,Nfxl1,"nuclear transcription factor, X-box binding-like 1",50.0,100978.0,491928275.0,26752.0,2
86,76135815,25,75819045,coronal,Pknox2,Pbx/knotted 1 homeobox 2,54.0,208076.0,491928275.0,32527.0,2
87,76085742,25,75720903,coronal,Nlk,nemo like kinase,36.0,18099.0,491928275.0,130631.0,2
88,79591689,25,79355679,coronal,Ube3a,ubiquitin protein ligase E3A,52.0,22215.0,491928275.0,7988.0,2
89,75888749,25,75195283,coronal,Gabrp,"gamma-aminobutyric acid (GABA) A receptor, pi",36.0,216643.0,491928275.0,22798.0,2
90,75988621,25,75448844,coronal,Rock2,Rho-associated coiled-coil containing protein kinase 2,37.0,19878.0,491928275.0,21010.0,2
91,75749783,25,75180161,coronal,Parm1,prostate androgen-regulated mucin-like protein 1,50.0,231440.0,491928275.0,41036.0,2
92,75826567,25,75195198,coronal,Chrna5,"cholinergic receptor, nicotinic, alpha polypeptide 5",54.0,110835.0,491928275.0,55485.0,2
93,75749739,25,75180145,coronal,Crtac1,cartilage acidic protein 1,45.0,72832.0,491928275.0,23070.0,2
94,75749751,25,75180145,coronal,Grik1,"glutamate receptor, ionotropic, kainate 1",42.0,14805.0,491928275.0,68992.0,2
95,75749417,25,75078679,coronal,Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",57.0,14404.0,491928275.0,68425.0,2
96,75651181,25,75064058,coronal,Lgals1,"lectin, galactose binding, soluble 1",41.0,16852.0,491928275.0,7399.0,2
97,75651213,25,75064058,coronal,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6",53.0,11440.0,491928275.0,20888.0,2
98,75551469,25,75063998,coronal,Gabrg1,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1",50.0,14405.0,491928275.0,22570.0,2
99,71670691,25,70858152,coronal,Tox,thymocyte selection-associated high mobility group box,49.0,252838.0,491928275.0,8822.0,2
100,76085744,25,75720903,coronal,Pbx3,pre B cell leukemia homeobox 3,47.0,18516.0,491928275.0,21243.0,2
101,75988666,25,75448857,coronal,Ltk,leukocyte tyrosine kinase,47.0,17005.0,491928275.0,130502.0,2
102,75651225,25,75078577,coronal,Laptm4b,lysosomal-associated protein transmembrane 4B,41.0,114128.0,491928275.0,10182.0,2
103,75651180,25,75064301,coronal,Spp1,secreted phosphoprotein 1,50.0,20750.0,491928275.0,20156.0,2
104,75042261,25,74865107,coronal,Qdpr,quinoid dihydropteridine reductase,50.0,110391.0,491928275.0,271.0,2
105,75041464,25,74834097,coronal,Lrrn3,"leucine rich repeat protein 3, neuronal",37.0,16981.0,491928275.0,36315.0,2
106,75041513,25,74834111,coronal,Tiam2,T cell lymphoma invasion and metastasis 2,43.0,24001.0,491928275.0,40796.0,2
107,75038443,25,74833938,coronal,St18,suppression of tumorigenicity 18,34.0,240690.0,491928275.0,8792.0,2
108,74988738,25,74785070,coronal,Ubtf,"upstream binding transcription factor, RNA polymerase I",36.0,21429.0,491928275.0,7970.0,2
109,74988460,25,74785054,coronal,Nkx2-1,NK2 homeobox 1,37.0,21869.0,491928275.0,2488.0,2
110,74988637,25,74784869,coronal,Selplg,"selectin, platelet (p-selectin) ligand",50.0,20345.0,491928275.0,2261.0,2
111,74881889,25,74703383,coronal,Bche,butyrylcholinesterase,48.0,12038.0,491928275.0,20065.0,2
112,74957897,25,74703375,coronal,Top1,topoisomerase (DNA) I,47.0,21969.0,491928275.0,2467.0,2
113,74882765,25,74703367,coronal,Ptk7,PTK7 protein tyrosine kinase 7,43.0,71461.0,491928275.0,43672.0,2
114,74881161,25,74641355,coronal,Wfs1,Wolfram syndrome 1 homolog (human),50.0,22393.0,491928275.0,4380.0,2
115,74882459,25,74703345,coronal,Ddr2,"discoidin domain receptor family, member 2",34.0,18214.0,491928275.0,68505.0,2
116,74882646,25,74703362,coronal,Kcnj12,"potassium inwardly-rectifying channel, subfamily J, member 12",36.0,16515.0,491928275.0,7793.0,2
117,74881517,25,74657066,coronal,Apc,adenomatosis polyposis coli,44.0,11789.0,491928275.0,30950.0,2
118,74586666,25,73652012,coronal,Nkd1,naked cuticle 1 homolog (Drosophila),53.0,93960.0,491928275.0,12343.0,2
119,75080643,25,74899330,coronal,Dscaml1,Down syndrome cell adhesion molecule like 1,54.0,114873.0,491928275.0,79549.0,2
120,75081000,25,74899344,coronal,Grin2a,"glutamate receptor, ionotropic, NMDA2A (epsilon 1)",42.0,14811.0,491928275.0,645.0,2
121,75084520,25,74878325,coronal,Pcp4l1,Purkinje cell protein 4-like 1,34.0,66425.0,491928275.0,122027.0,2
122,75081206,25,74899317,coronal,Baiap3,BAI1-associated protein 3,43.0,545192.0,491928275.0,20844.0,2
123,75077172,25,74865195,coronal,Tox3,TOX high mobility group box family member 3,53.0,244579.0,491928275.0,18257.0,2
124,74988667,25,74785066,coronal,Adcyap1r1,adenylate cyclase activating polypeptide 1 receptor 1,51.0,11517.0,491928275.0,870.0,2
125,74724764,25,74481141,coronal,Npas2,neuronal PAS domain protein 2,34.0,18143.0,491928275.0,1887.0,2
126,74724763,25,74481125,coronal,Id3,inhibitor of DNA binding 3,49.0,15903.0,491928275.0,1633.0,2
127,74658243,25,74343241,coronal,Bcl2l11,BCL2-like 11 (apoptosis facilitator),47.0,12125.0,491928275.0,7643.0,2
128,74641320,25,73806603,coronal,Ctnnd1,"catenin (cadherin associated protein), delta 1",47.0,12388.0,491928275.0,1017.0,2
129,74657929,25,73977227,coronal,Nhlh2,nescient helix loop helix 2,48.0,18072.0,491928275.0,4090.0,2
130,74641316,25,73806591,coronal,Avpr1a,arginine vasopressin receptor 1A,35.0,54140.0,491928275.0,568.0,2
131,74641304,25,73652038,coronal,Pou4f1,"POU domain, class 4, transcription factor 1",40.0,18996.0,491928275.0,21255.0,2
132,74641308,25,73651988,coronal,Zfhx3,zinc finger homeobox 3,53.0,11906.0,491928275.0,21366.0,2
133,74511882,25,73573701,coronal,Adcyap1,adenylate cyclase activating polypeptide 1,43.0,11516.0,491928275.0,869.0,2
134,75147762,25,75037027,coronal,Nos1,"nitric oxide synthase 1, neuronal",50.0,18125.0,491928275.0,37327.0,2
135,75084476,25,74878483,coronal,Nog,noggin,36.0,18121.0,491928275.0,3979.0,2
136,75084530,25,74878325,coronal,Per3,period circadian clock 3,49.0,18628.0,491928275.0,7886.0,2
137,75084112,25,74878479,coronal,Ppp3r2,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type II)",49.0,19059.0,491928275.0,68797.0,2
138,71015388,25,70298629,coronal,Psrc1,proline/serine-rich coiled-coil 1,48.0,56742.0,491928275.0,49603.0,2
139,74800903,25,74357307,coronal,Selk,selenoprotein K,40.0,80795.0,491928275.0,56870.0,2
140,74658110,25,74071361,coronal,Csnk1a1,"casein kinase 1, alpha 1",44.0,93687.0,491928275.0,111694.0,2
141,74581376,25,73633956,coronal,Sema3d,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D",50.0,108151.0,491928275.0,23664.0,2
142,74357559,25,73425187,coronal,Pou6f1,"POU domain, class 6, transcription factor 1",41.0,19009.0,491928275.0,7703.0,2
143,74047775,25,72147849,coronal,Fzd6,frizzled homolog 6 (Drosophila),41.0,14368.0,491928275.0,2617.0,2
144,73992719,25,72010453,coronal,Fat3,FAT tumor suppressor homolog 3 (Drosophila),54.0,270120.0,491928275.0,82252.0,2
145,73931634,25,72008723,coronal,Gm626,predicted gene 626,40.0,268729.0,491928275.0,51854.0,2
146,73992708,25,71935622,coronal,Satb2,special AT-rich sequence binding protein 2,34.0,212712.0,491928275.0,32249.0,2
147,74819259,25,74553737,coronal,Copg2,"coatomer protein complex, subunit gamma 2",51.0,54160.0,491928275.0,56292.0,2
148,74819240,25,74553725,coronal,Aldh2,"aldehyde dehydrogenase 2, mitochondrial",50.0,11669.0,491928275.0,55480.0,2
149,74750015,25,74495210,coronal,Maoa,monoamine oxidase A,57.0,17161.0,491928275.0,203.0,2
150,74743257,25,74481146,coronal,Nrg1,neuregulin 1,53.0,211323.0,491928275.0,8509.0,2
151,74724639,25,74373808,coronal,Celsr3,"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)",54.0,107934.0,491928275.0,1077.0,2
152,74581424,25,73634007,coronal,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2",34.0,98741.0,491928275.0,31263.0,2
153,74581366,25,73633913,coronal,Tsc22d3,"TSC22 domain family, member 3",57.0,14605.0,491928275.0,104035.0,2
154,74357570,25,73440263,coronal,Tpd52l1,tumor protein D52-like 1,35.0,21987.0,491928275.0,2468.0,2
155,74357547,25,72974492,coronal,Id4,inhibitor of DNA binding 4,39.0,15904.0,491928275.0,1186.0,2
156,74272054,25,72962240,coronal,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),36.0,11492.0,491928275.0,74925.0,2
157,74272904,25,72963884,coronal,Sp8,trans-acting transcription factor 8,37.0,320145.0,491928275.0,18548.0,2
158,74272478,25,72962948,coronal,Gdf11,growth differentiation factor 11,35.0,14561.0,491928275.0,21183.0,2
159,74272037,25,72962236,coronal,Map2,microtubule-associated protein 2,34.0,17756.0,491928275.0,,2
160,74047920,25,72172847,coronal,Pacsin2,protein kinase C and casein kinase substrate in neurons 2,41.0,23970.0,491928275.0,21414.0,2
161,74047774,25,72147849,coronal,Spint2,"serine protease inhibitor, Kunitz type 2",52.0,20733.0,491928275.0,7955.0,2
162,74047715,25,72135230,coronal,Lrp8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",49.0,16975.0,491928275.0,31250.0,2
163,74047444,25,72134986,coronal,Gda,guanine deaminase,45.0,14544.0,491928275.0,3171.0,2
164,74047771,25,72147809,coronal,Gnb4,"guanine nucleotide binding protein (G protein), beta 4",48.0,14696.0,491928275.0,69140.0,2
165,74047748,25,72135259,coronal,Astn2,astrotactin 2,49.0,56079.0,491928275.0,77850.0,2
166,74511925,25,73620041,coronal,Tph2,tryptophan hydroxylase 2,35.0,216343.0,491928275.0,27831.0,2
167,74511885,25,73620033,coronal,Wif1,Wnt inhibitory factor 1,35.0,24117.0,491928275.0,31430.0,2
168,74511791,25,73573680,coronal,Col15a1,"collagen, type XV, alpha 1",49.0,12819.0,491928275.0,1396.0,2
169,74274687,25,72967192,coronal,Unc5b,unc-5 homolog B (C. elegans),35.0,107449.0,491928275.0,32538.0,2
170,74274684,25,72970664,coronal,Lrmp,lymphoid-restricted membrane protein,51.0,16970.0,491928275.0,4483.0,2
171,74047845,25,72147861,coronal,Meis3,Meis homeobox 3,52.0,17537.0,491928275.0,7425.0,2
172,79589524,25,79355604,coronal,Gabrr2,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2",49.0,14409.0,491928275.0,20471.0,2
173,74273120,25,72966804,coronal,Arc,activity regulated cytoskeletal-associated protein,41.0,11838.0,491928275.0,9056.0,2
174,74047905,25,72172843,coronal,Btrc,beta-transducin repeat containing protein,45.0,12234.0,491928275.0,39330.0,2
175,74511880,25,73573701,coronal,Daam2,dishevelled associated activator of morphogenesis 2,43.0,76441.0,491928275.0,69186.0,2
176,74511838,25,73573616,coronal,Ntn1,netrin 1,36.0,18208.0,491928275.0,21008.0,2
177,73931637,25,72008723,coronal,Lrrtm3,leucine rich repeat transmembrane neuronal 3,35.0,216028.0,491928275.0,37110.0,2
178,73930838,25,71993639,coronal,Asic2,acid-sensing (proton-gated) ion channel 2,36.0,11418.0,491928275.0,,2
179,73930822,25,71993627,coronal,Lepr,leptin receptor,49.0,16847.0,491928275.0,1731.0,2
180,73521822,25,71414883,coronal,Slc18a3,"solute carrier family 18 (vesicular monoamine), member 3",40.0,20508.0,491928275.0,11022.0,2
181,74581447,25,73651943,coronal,Pex5l,peroxisomal biogenesis factor 5-like,48.0,58869.0,491928275.0,9562.0,2
182,74581449,25,73651943,coronal,Slc2a12,"solute carrier family 2 (facilitated glucose transporter), member 12",35.0,353169.0,491928275.0,59263.0,2
183,74581448,25,73651943,coronal,Plekhh2,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 2",43.0,213556.0,491928275.0,35317.0,2
184,72080025,25,71203592,coronal,Pcsk2,proprotein convertase subtilisin/kexin type 2,47.0,18549.0,491928275.0,37640.0,2
185,72340131,25,71298843,coronal,Gabra1,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1",36.0,14394.0,491928275.0,629.0,2
186,72128790,25,71250812,coronal,Atp10a,"ATPase, class V, type 10A",52.0,11982.0,491928275.0,56461.0,2
187,2579,25,702870,coronal,Slc16a4,"solute carrier family 16 (monocarboxylic acid transporters), member 4",48.0,229699.0,491928275.0,74529.0,2
188,72119591,25,71227926,coronal,Ngef,neuronal guanine nucleotide exchange factor,34.0,53972.0,491928275.0,75120.0,2
189,2551,25,702868,coronal,Scarb1,"scavenger receptor class B, member 1",50.0,20778.0,491928275.0,21132.0,2
190,2599,25,702864,coronal,Slc2a4,"solute carrier family 2 (facilitated glucose transporter), member 4",36.0,20528.0,491928275.0,74381.0,2
191,2533,25,702830,coronal,Rhbdf1,rhomboid family 1 (Drosophila),36.0,13650.0,491928275.0,32085.0,2
192,2485,25,702863,coronal,Plg,plasminogen,43.0,18815.0,491928275.0,55452.0,2
193,71670485,25,70803431,coronal,Lgi2,"leucine-rich repeat LGI family, member 2",50.0,246316.0,491928275.0,10048.0,2
194,2069,25,702849,coronal,Btd,biotinidase,40.0,26363.0,491928275.0,37255.0,2
195,2429,25,702849,coronal,Nkiras2,NFKB inhibitor interacting Ras-like protein 2,36.0,71966.0,491928275.0,9738.0,2
196,2607,25,702849,coronal,Slc35a2,"solute carrier family 35 (UDP-galactose transporter), member A2",57.0,22232.0,491928275.0,38085.0,2
197,2285,25,702847,coronal,Hdgf,hepatoma-derived growth factor,48.0,15191.0,491928275.0,3306.0,2
198,2212,25,702847,coronal,Fem1a,feminization 1 homolog a (C. elegans),43.0,14154.0,491928275.0,7713.0,2
199,2173,25,702847,coronal,E2f6,E2F transcription factor 6,37.0,50496.0,491928275.0,1473.0,2
200,2483,25,702851,coronal,Pkig,"protein kinase inhibitor, gamma",47.0,18769.0,491928275.0,5133.0,2
201,1970,25,702848,coronal,Rabep2,"rabaptin, RAB GTPase binding effector protein 2",52.0,70314.0,491928275.0,23489.0,2
202,2155,25,702848,coronal,Dok2,docking protein 2,40.0,13449.0,491928275.0,2957.0,2
203,2444,25,702846,coronal,Nudt9,nudix (nucleoside diphosphate linked moiety X)-type motif 9,50.0,74167.0,491928275.0,11435.0,2
204,2413,25,702846,coronal,Mtrr,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,39.0,210009.0,491928275.0,11419.0,2
205,1810,25,702839,coronal,Pigt,"phosphatidylinositol glycan anchor biosynthesis, class T",47.0,78928.0,491928275.0,6134.0,2
206,2529,25,702838,coronal,Rgs14,regulator of G-protein signaling 14,39.0,51791.0,491928275.0,4735.0,2
207,2583,25,702835,coronal,Slc18a1,"solute carrier family 18 (vesicular monoamine), member 1",53.0,110877.0,491928275.0,20664.0,2
208,2409,25,702845,coronal,Mtf1,metal response element binding transcription factor 1,49.0,17764.0,491928275.0,4347.0,2
209,2191,25,702845,coronal,Ephb6,Eph receptor B6,51.0,13848.0,491928275.0,20940.0,2
210,1940,25,702845,coronal,Zbtb48,zinc finger and BTB domain containing 48,49.0,100090.0,491928275.0,3905.0,2
211,2329,25,702845,coronal,Irf9,interferon regulatory factor 9,40.0,16391.0,491928275.0,4436.0,2
212,1689,25,702844,coronal,Copa,coatomer protein complex subunit alpha,34.0,12847.0,491928275.0,3218.0,2
213,1772,25,702844,coronal,Mmaa,methylmalonic aciduria (cobalamin deficiency) type A,53.0,109136.0,491928275.0,14586.0,2
214,71587930,25,70803407,coronal,Elfn1,"leucine rich repeat and fibronectin type III, extracellular 1",50.0,243312.0,491928275.0,18465.0,2
215,79490110,25,79322572,coronal,Apoe,apolipoprotein E,52.0,11816.0,491928275.0,30951.0,2
216,77371815,25,77281682,coronal,Kcnn2,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2",44.0,140492.0,491928275.0,23150.0,2
217,79556599,25,79338761,coronal,Fgf1,fibroblast growth factor 1,44.0,14164.0,491928275.0,625.0,2
218,77280561,25,77232703,coronal,Hcn1,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1",39.0,15165.0,491928275.0,32093.0,2
219,1697,25,702844,coronal,Nomo1,nodal modulator 1,52.0,211548.0,491928275.0,13810.0,2
220,77413690,25,77281698,coronal,Stat5a,signal transducer and activator of transcription 5A,36.0,20850.0,491928275.0,20680.0,2
221,77280576,25,77232707,coronal,Tnnt1,"troponin T1, skeletal, slow",52.0,21955.0,491928275.0,20704.0,2
222,1673,25,702836,coronal,Brd8,bromodomain containing 8,44.0,78656.0,491928275.0,41790.0,2
223,2609,25,702840,coronal,Slc35a3,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3",48.0,229782.0,491928275.0,40826.0,2
224,1667,25,702840,coronal,Vash2,vasohibin 2,34.0,226841.0,491928275.0,57005.0,2
225,1637,25,702840,coronal,Ufc1,ubiquitin-fold modifier conjugating enzyme 1,34.0,66155.0,491928275.0,9500.0,2
226,71587845,25,70780158,coronal,Thrsp,thyroid hormone responsive,52.0,21835.0,491928275.0,2441.0,2
227,2161,25,702840,coronal,Dph2,DPH2 homolog (S. cerevisiae),49.0,67728.0,491928275.0,1060.0,2
