experiment_id,section_thickness,specimen_id,plane,gene,gene_name,chromosome_id,entrez_id,genomic_reference_update_id,homologene_id,organism_id
100145313,25,713088,sagittal,Alpl,"alkaline phosphatase, liver/bone/kidney",49.0,11647.0,491928275.0,37314.0,2
68077015,25,67964506,sagittal,Lcmt1,leucine carboxyl methyltransferase 1,52.0,30949.0,491928275.0,41123.0,2
68443220,25,67795910,sagittal,Ube2h,ubiquitin-conjugating enzyme E2H,51.0,22214.0,491928275.0,103894.0,2
68193054,25,653472,sagittal,Tceal1,transcription elongation factor A (SII)-like 1,57.0,237052.0,491928275.0,3510.0,2
81600580,25,6514,sagittal,Wnt11,"wingless-type MMTV integration site family, member 11",52.0,22411.0,491928275.0,20970.0,2
81600582,25,6514,sagittal,Dr1,down-regulator of transcription 1,50.0,13486.0,491928275.0,38809.0,2
69783220,25,69371017,sagittal,Pira1,paired-Ig-like receptor A1,52.0,18722.0,491928275.0,124457.0,2
632488,25,594505,sagittal,Bspry,B-box and SPRY domain containing,49.0,192120.0,491928275.0,9781.0,2
633293,25,610859,sagittal,Mrpl12,mitochondrial ribosomal protein L12,36.0,56282.0,491928275.0,2212.0,2
81790680,25,6519,sagittal,Crxos,"cone-rod homeobox, opposite strand",52.0,546024.0,491928275.0,86022.0,2
81600604,25,6516,sagittal,Ppp1r12a,"protein phosphatase 1, regulatory (inhibitor) subunit 12A",35.0,17931.0,491928275.0,1855.0,2
81790686,25,6520,sagittal,Figla,folliculogenesis specific basic helix-loop-helix,51.0,26910.0,491928275.0,49294.0,2
81790690,25,6520,sagittal,Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",36.0,14401.0,491928275.0,7327.0,2
81790692,25,6520,sagittal,Hcrtr2,hypocretin (orexin) receptor 2,54.0,387285.0,491928275.0,1168.0,2
81790670,25,6518,sagittal,Foxd1,forkhead box D1,39.0,15229.0,491928275.0,3290.0,2
81790662,25,6518,sagittal,Foxj1,forkhead box J1,36.0,15223.0,491928275.0,1117.0,2
81599628,25,6532,sagittal,Nmd3,NMD3 homolog (S. cerevisiae),48.0,97112.0,491928275.0,6127.0,2
81599624,25,6532,sagittal,Akirin1,akirin 1,49.0,68050.0,491928275.0,11348.0,2
81599610,25,6531,sagittal,Cdk9,cyclin-dependent kinase 9 (CDC2-related kinase),47.0,107951.0,491928275.0,55566.0,2
81599612,25,6531,sagittal,Eif3g,"eukaryotic translation initiation factor 3, subunit G",54.0,53356.0,491928275.0,2784.0,2
678682,25,678723,sagittal,Mrps5,mitochondrial ribosomal protein S5,47.0,77721.0,491928275.0,32726.0,2
81599662,25,6535,sagittal,Gorasp1,golgi reassembly stacking protein 1,54.0,74498.0,491928275.0,49916.0,2
819,25,710154,sagittal,Plxnb2,plexin B2,41.0,140570.0,491928275.0,66630.0,2
81600126,25,6540,sagittal,Actb,"actin, beta",50.0,11461.0,491928275.0,110648.0,2
1013,25,710139,sagittal,Synj1,synaptojanin 1,42.0,104015.0,491928275.0,48252.0,2
100146153,25,710937,sagittal,Top2b,topoisomerase (DNA) II beta,40.0,21974.0,491928275.0,68155.0,2
100146140,25,710938,sagittal,St14,suppression of tumorigenicity 14 (colon carcinoma),54.0,19143.0,491928275.0,7906.0,2
69817229,25,69371022,sagittal,Ppp1r3f,"protein phosphatase 1, regulatory (inhibitor) subunit 3F",57.0,54646.0,491928275.0,16330.0,2
678694,25,678731,sagittal,Zfp759,zinc finger protein 759,39.0,268670.0,491928275.0,,2
68844672,25,68152356,sagittal,Vstm5,V-set and transmembrane domain containing 5,54.0,69137.0,491928275.0,45982.0,2
686187,25,683389,sagittal,Abhd5,abhydrolase domain containing 5,54.0,67469.0,491928275.0,41088.0,2
81599664,25,6535,sagittal,Polr3h,polymerase (RNA) III (DNA directed) polypeptide H,41.0,78929.0,491928275.0,6337.0,2
100144894,25,710892,sagittal,Pcdhb11,protocadherin beta 11,44.0,93882.0,491928275.0,62178.0,2
69782718,25,69354847,sagittal,Papolb,poly (A) polymerase beta (testis specific),50.0,56522.0,491928275.0,121622.0,2
68798322,25,67963150,sagittal,Calm4,calmodulin 4,39.0,80796.0,491928275.0,49485.0,2
68443202,25,67795910,sagittal,Gstm1,"glutathione S-transferase, mu 1",48.0,14862.0,491928275.0,115474.0,2
71808588,25,71019382,sagittal,AW822252,expressed sequence AW822252,57.0,331578.0,491928275.0,,2
69782736,25,69354847,sagittal,Cul9,cullin 9,43.0,78309.0,491928275.0,56696.0,2
71808516,25,71019319,sagittal,Syt15,synaptotagmin XV,40.0,319508.0,491928275.0,12901.0,2
69782479,25,69354822,sagittal,Nup155,nucleoporin 155,41.0,170762.0,491928275.0,43155.0,2
69782748,25,69354776,sagittal,Parg,poly (ADP-ribose) glycohydrolase,40.0,26430.0,491928275.0,50532.0,2
100144178,25,710788,sagittal,P2ry6,"pyrimidinergic receptor P2Y, G-protein coupled, 6",52.0,233571.0,491928275.0,14289.0,2
71808472,25,70999156,sagittal,LOC432610,hypothetical gene supported by AK041521,36.0,432610.0,491928275.0,,2
81790730,25,81618794,sagittal,Grik1,"glutamate receptor, ionotropic, kainate 1",42.0,14805.0,491928275.0,68992.0,2
71808502,25,70999156,sagittal,Skint11,selection and upkeep of intraepithelial T cells 11,49.0,230623.0,491928275.0,,2
69782300,25,69354810,sagittal,Nol4,nucleolar protein 4,44.0,319211.0,491928275.0,36142.0,2
68798310,25,67963150,sagittal,Klk12,kallikrein related-peptidase 12,52.0,69511.0,491928275.0,44690.0,2
1955,25,702898,sagittal,Smg9,"smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)",52.0,71997.0,491928275.0,10426.0,2
2477,25,702896,sagittal,Pdlim2,PDZ and LIM domain 2,40.0,213019.0,491928275.0,11006.0,2
70305000,25,69619602,sagittal,Dock6,dedicator of cytokinesis 6,54.0,319899.0,491928275.0,83291.0,2
1537,25,702799,sagittal,Srprb,"signal recognition particle receptor, B subunit",54.0,20818.0,491928275.0,6332.0,2
81600560,25,6511,sagittal,P2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7",50.0,18439.0,491928275.0,1925.0,2
81600556,25,6511,sagittal,Exd2,exonuclease 3'-5' domain containing 2,37.0,97827.0,491928275.0,10066.0,2
81790700,25,6521,sagittal,Ephb6,Eph receptor B6,51.0,13848.0,491928275.0,20940.0,2
81790678,25,6519,sagittal,Foxd2,forkhead box D2,49.0,17301.0,491928275.0,3292.0,2
81790696,25,6520,sagittal,Crhr1,corticotropin releasing hormone receptor 1,36.0,12921.0,491928275.0,20920.0,2
68797490,25,68151354,sagittal,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",53.0,11739.0,491928275.0,36058.0,2
70429268,25,69619632,sagittal,Hspa12b,heat shock protein 12B,47.0,72630.0,491928275.0,41749.0,2
1131,25,702601,sagittal,Ywhaq,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide",37.0,22630.0,491928275.0,105677.0,2
68269273,25,700647,sagittal,Arfgap3,ADP-ribosylation factor GTPase activating protein 3,41.0,66251.0,491928275.0,121625.0,2
2152,25,702895,sagittal,Dmwd,dystrophia myotonica-containing WD repeat motif,52.0,13401.0,491928275.0,22559.0,2
2390,25,702896,sagittal,Madcam1,mucosal vascular addressin cell adhesion molecule 1,35.0,17123.0,491928275.0,8413.0,2
1773,25,702894,sagittal,Mmaa,methylmalonic aciduria (cobalamin deficiency) type A,53.0,109136.0,491928275.0,14586.0,2
68076551,25,67964442,sagittal,Emcn,endomucin,48.0,59308.0,491928275.0,9438.0,2
71789861,25,70929645,sagittal,Ppp1r15a,"protein phosphatase 1, regulatory (inhibitor) subunit 15A",52.0,17872.0,491928275.0,8639.0,2
1132,25,702601,sagittal,Ywhaq,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide",37.0,22630.0,491928275.0,105677.0,2
68798418,25,67963175,sagittal,Popdc2,popeye domain containing 2,42.0,64082.0,491928275.0,11147.0,2
68798442,25,67963175,sagittal,Zbtb12,zinc finger and BTB domain containing 12,43.0,193736.0,491928275.0,18778.0,2
847,25,702619,sagittal,Psap,prosaposin,35.0,19156.0,491928275.0,37680.0,2
686199,25,683397,sagittal,Prdx6,peroxiredoxin 6,34.0,11758.0,491928275.0,3606.0,2
81600602,25,6516,sagittal,Grpr,gastrin releasing peptide receptor,57.0,14829.0,491928275.0,21098.0,2
1941,25,702894,sagittal,Zbtb48,zinc finger and BTB domain containing 48,49.0,100090.0,491928275.0,3905.0,2
69735275,25,69289539,sagittal,Igfals,"insulin-like growth factor binding protein, acid labile subunit",43.0,16005.0,491928275.0,37987.0,2
1465,25,702801,sagittal,Tsc22d4,"TSC22 domain family, member 4",50.0,78829.0,491928275.0,11390.0,2
68797489,25,68151354,sagittal,Pdk2,"pyruvate dehydrogenase kinase, isoenzyme 2",36.0,18604.0,491928275.0,68265.0,2
71763700,25,70981773,sagittal,4930538K18Rik,RIKEN cDNA 4930538K18 gene,49.0,75180.0,491928275.0,28290.0,2
119688,25,45831,sagittal,Rarg,"retinoic acid receptor, gamma",41.0,19411.0,491928275.0,20263.0,2
71764195,25,70971202,sagittal,Pold4,"polymerase (DNA-directed), delta 4",45.0,69745.0,491928275.0,10909.0,2
71764207,25,70971202,sagittal,Psmc1,"protease (prosome, macropain) 26S subunit, ATPase 1",37.0,19179.0,491928275.0,2095.0,2
631720,25,594493,sagittal,Serp1,stress-associated endoplasmic reticulum protein 1,48.0,28146.0,491928275.0,8691.0,2
631722,25,594493,sagittal,Cldn8,claudin 8,42.0,54420.0,491928275.0,8117.0,2
631718,25,594493,sagittal,Frg1,FSHD region gene 1,53.0,14300.0,491928275.0,3295.0,2
68269302,25,700639,sagittal,Sdhc,"succinate dehydrogenase complex, subunit C, integral membrane protein",34.0,66052.0,491928275.0,2256.0,2
69735688,25,69289638,sagittal,Kcna1,"potassium voltage-gated channel, shaker-related subfamily, member 1",51.0,16485.0,491928275.0,183.0,2
68844367,25,68151384,sagittal,Utp23,"UTP23, small subunit (SSU) processome component, homolog (yeast)",41.0,78581.0,491928275.0,41789.0,2
69782264,25,69354729,sagittal,Ninj1,ninjurin 1,39.0,18081.0,491928275.0,88815.0,2
71283720,25,70404879,sagittal,Ehmt2,euchromatic histone lysine N-methyltransferase 2,43.0,110147.0,491928275.0,48460.0,2
71656071,25,70858252,sagittal,Mcm3,minichromosome maintenance deficient 3 (S. cerevisiae),34.0,17215.0,491928275.0,1791.0,2
71656068,25,70858252,sagittal,Fam118a,"family with sequence similarity 118, member A",41.0,73225.0,491928275.0,9911.0,2
71723808,25,70911401,sagittal,Haao,"3-hydroxyanthranilate 3,4-dioxygenase",43.0,107766.0,491928275.0,8148.0,2
69781971,25,69354690,sagittal,Myh10,"myosin, heavy polypeptide 10, non-muscle",36.0,77579.0,491928275.0,55941.0,2
73512529,25,71339124,sagittal,Ociad1,OCIA domain containing 1,50.0,68095.0,491928275.0,9866.0,2
69736334,25,69333182,sagittal,Luzp2,leucine zipper protein 2,52.0,233271.0,491928275.0,45618.0,2
69736310,25,69333182,sagittal,Ltbp3,latent transforming growth factor beta binding protein 3,45.0,16998.0,491928275.0,7405.0,2
69202687,25,68814389,sagittal,Wdr75,WD repeat domain 75,34.0,73674.0,491928275.0,32771.0,2
69202663,25,68814389,sagittal,Ttc21b,tetratricopeptide repeat domain 21B,47.0,73668.0,491928275.0,57006.0,2
2204,25,702889,sagittal,Exosc1,exosome component 1,45.0,66583.0,491928275.0,9359.0,2
69736004,25,69333157,sagittal,Lama5,"laminin, alpha 5",47.0,16776.0,491928275.0,4060.0,2
70609148,25,69837650,sagittal,Ankrd36,ankyrin repeat domain 36,36.0,76389.0,491928275.0,75198.0,2
71735831,25,70929992,sagittal,Nxph3,neurexophilin 3,36.0,104079.0,491928275.0,5227.0,2
71763792,25,70971155,sagittal,Mettl1,methyltransferase like 1,35.0,17299.0,491928275.0,3918.0,2
73834529,25,71887496,sagittal,Gm7265,predicted gene 7265,54.0,639396.0,491928275.0,,2
1716,25,702885,sagittal,Fgf15,fibroblast growth factor 15,52.0,14170.0,491928275.0,3754.0,2
1636,25,702885,sagittal,Letmd1,LETM1 domain containing 1,41.0,68614.0,491928275.0,9128.0,2
71763441,25,70930011,sagittal,Ndc80,"NDC80 homolog, kinetochore complex component (S. cerevisiae)",43.0,67052.0,491928275.0,38141.0,2
69736376,25,69333112,sagittal,Lypla2,lysophospholipase 2,49.0,26394.0,491928275.0,100964.0,2
70302117,25,69594345,sagittal,Slc26a4,"solute carrier family 26, member 4",37.0,23985.0,491928275.0,20132.0,2
69736244,25,69333178,sagittal,Lrp1,low density lipoprotein receptor-related protein 1,35.0,16971.0,491928275.0,1744.0,2
69549631,25,69278750,sagittal,Atp6ap1,"ATPase, H+ transporting, lysosomal accessory protein 1",57.0,54411.0,491928275.0,914.0,2
69672450,25,69636907,sagittal,Fgfr1op,Fgfr1 oncogene partner,43.0,75296.0,491928275.0,5116.0,2
79904550,25,79393380,sagittal,Snca,"synuclein, alpha",51.0,20617.0,491928275.0,293.0,2
69736316,25,69333182,sagittal,Ltbp4,latent transforming growth factor beta binding protein 4,52.0,108075.0,491928275.0,2645.0,2
2170,25,702897,sagittal,Dyrk1a,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a,42.0,13548.0,491928275.0,55576.0,2
2064,25,702893,sagittal,Blmh,bleomycin hydrolase,36.0,104184.0,491928275.0,330.0,2
69289465,25,68871020,sagittal,Nanog,Nanog homeobox,51.0,71950.0,491928275.0,78027.0,2
92,25,702644,sagittal,Akap8,A kinase (PRKA) anchor protein 8,43.0,56399.0,491928275.0,4278.0,2
69735956,25,69333153,sagittal,Krt4,keratin 4,41.0,16682.0,491928275.0,20523.0,2
1991,25,702893,sagittal,Aph1a,anterior pharynx defective 1a homolog (C. elegans),48.0,226548.0,491928275.0,9345.0,2
2392,25,702893,sagittal,Pam16,presequence translocase-asssociated motor 16 homolog (S. cerevisiae),42.0,66449.0,491928275.0,41100.0,2
69735974,25,69333153,sagittal,Krtap15,keratin associated protein 15,42.0,26560.0,491928275.0,8439.0,2
71456144,25,70538386,sagittal,Mm.247024,Unigene Mm.247024,,,,,2
79904406,25,79393380,sagittal,Ets2,"E26 avian leukemia oncogene 2, 3' domain",42.0,23872.0,491928275.0,3838.0,2
1981,25,702898,sagittal,Olfml2b,olfactomedin-like 2B,34.0,320078.0,491928275.0,18546.0,2
2302,25,702898,sagittal,Pla2g16,"phospholipase A2, group XVI",45.0,225845.0,491928275.0,5136.0,2
1997,25,702898,sagittal,Fam195a,"family with sequence similarity 195, member A",43.0,68241.0,491928275.0,12251.0,2
69289793,25,68870794,sagittal,Rel,reticuloendotheliosis oncogene,36.0,19696.0,491928275.0,2182.0,2
2154,25,702898,sagittal,Dnajb12,"DnaJ (Hsp40) homolog, subfamily B, member 12",35.0,56709.0,491928275.0,9749.0,2
2484,25,702895,sagittal,Pkig,"protein kinase inhibitor, gamma",47.0,18769.0,491928275.0,5133.0,2
71891539,25,70999144,sagittal,Hoxa7,homeobox A7,51.0,15404.0,491928275.0,56001.0,2
71735827,25,70929735,sagittal,Lsm10,U7 snRNP-specific Sm-like protein LSM10,49.0,116748.0,491928275.0,13154.0,2
2580,25,702891,sagittal,Slc16a4,"solute carrier family 16 (monocarboxylic acid transporters), member 4",48.0,229699.0,491928275.0,74529.0,2
69735801,25,69289676,sagittal,Kif5c,kinesin family member 5C,47.0,16574.0,491928275.0,56234.0,2
2268,25,702890,sagittal,Gnpnat1,glucosamine-phosphate N-acetyltransferase 1,40.0,54342.0,491928275.0,41323.0,2
69752011,25,69333124,sagittal,Map3k2,mitogen-activated protein kinase kinase kinase 2,44.0,26405.0,491928275.0,74576.0,2
2048,25,702890,sagittal,Asgr1,asialoglycoprotein receptor 1,36.0,11889.0,491928275.0,1263.0,2
69752029,25,69333124,sagittal,Map3k8,mitogen-activated protein kinase kinase kinase 8,44.0,26410.0,491928275.0,3812.0,2
70723375,25,69941363,sagittal,Cacng7,"calcium channel, voltage-dependent, gamma subunit 7",52.0,81904.0,491928275.0,12895.0,2
69671845,25,69636230,sagittal,Ebna1bp2,EBNA1 binding protein 2,49.0,69072.0,491928275.0,4969.0,2
69752041,25,69333124,sagittal,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,34.0,26921.0,491928275.0,7442.0,2
2516,25,702890,sagittal,Pycrl,pyrroline-5-carboxylate reductase-like,41.0,66194.0,491928275.0,56130.0,2
2414,25,702890,sagittal,Mtrr,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,39.0,210009.0,491928275.0,11419.0,2
69290561,25,68871048,sagittal,T,brachyury,43.0,20997.0,491928275.0,2393.0,2
70719653,25,69914421,sagittal,Col3a1,"collagen, type III, alpha 1",34.0,12825.0,491928275.0,55433.0,2
2250,25,702892,sagittal,Galm,galactose mutarotase,43.0,319625.0,491928275.0,71795.0,2
69290650,25,68871052,sagittal,Tfeb,transcription factor EB,43.0,21425.0,491928275.0,5182.0,2
2618,25,702892,sagittal,Slc38a4,"solute carrier family 38, member 4",41.0,69354.0,491928275.0,75077.0,2
1652,25,702892,sagittal,Cmbl,carboxymethylenebutenolidase-like (Pseudomonas),41.0,69574.0,491928275.0,100714.0,2
71724810,25,70911451,sagittal,Atf1,activating transcription factor 1,41.0,11908.0,491928275.0,3790.0,2
71021145,25,70123624,sagittal,Cdc42,cell division cycle 42,49.0,12540.0,491928275.0,123986.0,2
79762548,25,79382588,sagittal,S100b,"S100 protein, beta polypeptide, neural",35.0,20203.0,491928275.0,4567.0,2
79903764,25,79393420,sagittal,Efnb2,ephrin B2,53.0,13642.0,491928275.0,3019.0,2
1979,25,702892,sagittal,Ccdc137,coiled-coil domain containing 137,36.0,67291.0,491928275.0,34992.0,2
71021159,25,70123632,sagittal,Cmya5,cardiomyopathy associated 5,39.0,76469.0,491928275.0,105900.0,2
69735526,25,69289612,sagittal,Irg1,immunoresponsive gene 1,40.0,16365.0,491928275.0,35405.0,2
69736394,25,69333116,sagittal,Lzts2,"leucine zipper, putative tumor suppressor 2",45.0,226154.0,491928275.0,15690.0,2
69736388,25,69333116,sagittal,Lzts1,"leucine zipper, putative tumor suppressor 1",53.0,211134.0,491928275.0,10873.0,2
2070,25,702896,sagittal,Btd,biotinidase,40.0,26363.0,491928275.0,37255.0,2
1767,25,702885,sagittal,Ldlr,low density lipoprotein receptor,54.0,16835.0,491928275.0,55469.0,2
71723985,25,70911349,sagittal,Matn2,matrilin 2,41.0,17181.0,491928275.0,20538.0,2
69736142,25,69333104,sagittal,Lmnb1,lamin B1,44.0,16906.0,491928275.0,55912.0,2
1670,25,702894,sagittal,Zfp280c,zinc finger protein 280C,57.0,208968.0,491928275.0,9770.0,2
71723997,25,70911349,sagittal,Nit1,nitrilase 1,34.0,27045.0,491928275.0,4091.0,2
69736298,25,69333108,sagittal,Lta,lymphotoxin A,43.0,16992.0,491928275.0,497.0,2
71021174,25,70123636,sagittal,Ascl5,achaete-scute complex homolog 5 (Drosophila),34.0,226439.0,491928275.0,132678.0,2
69735532,25,69289612,sagittal,Irs1,insulin receptor substrate 1,34.0,16367.0,491928275.0,4049.0,2
69735927,25,69333083,sagittal,Krt12,keratin 12,36.0,268482.0,491928275.0,188.0,2
100144924,25,710921,sagittal,B430212C06Rik,RIKEN cDNA B430212C06 gene,44.0,338360.0,491928275.0,,2
71021129,25,70123674,sagittal,Cd200r2,Cd200 receptor 2,42.0,271375.0,491928275.0,45557.0,2
69671869,25,69636230,sagittal,Echs1,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial",52.0,93747.0,491928275.0,3018.0,2
69736118,25,69333100,sagittal,Lgmn,legumain,37.0,19141.0,491928275.0,38075.0,2
69735682,25,69289638,sagittal,Klhl29,kelch-like 29,37.0,208439.0,491928275.0,66272.0,2
308055734,25,305626322,sagittal,Gabra6,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6",36.0,14399.0,491928275.0,20220.0,2
69735676,25,69289638,sagittal,Cd82,CD82 antigen,47.0,12521.0,491928275.0,20512.0,2
71210442,25,70309783,sagittal,Dmxl1,Dmx-like 1,44.0,240283.0,491928275.0,21136.0,2
1698,25,702894,sagittal,Nomo1,nodal modulator 1,52.0,211548.0,491928275.0,13810.0,2
69735670,25,69289638,sagittal,Jph3,junctophilin 3,53.0,57340.0,491928275.0,10762.0,2
2076,25,702894,sagittal,Sdccag3,serologically defined colon cancer antigen 3,47.0,68112.0,491928275.0,74578.0,2
71724840,25,70911373,sagittal,Sccpdh,saccharopine dehydrogenase (putative),34.0,109232.0,491928275.0,9334.0,2
71724017,25,70911327,sagittal,Rab11a,"RAB11A, member RAS oncogene family",54.0,53869.0,491928275.0,37903.0,2
2038,25,702894,sagittal,Aqp9,aquaporin 9,54.0,64008.0,491928275.0,41405.0,2
1965,25,702889,sagittal,Fam136a,"family with sequence similarity 136, member A",51.0,66488.0,491928275.0,41637.0,2
1650,25,702889,sagittal,Ostc,oligosaccharyltransferase complex subunit,48.0,66357.0,491928275.0,10933.0,2
68844421,25,68151424,sagittal,Parva,"parvin, alpha",52.0,57342.0,491928275.0,10077.0,2
71723857,25,70911331,sagittal,Ambp,alpha 1 microglobulin/bikunin,49.0,11699.0,491928275.0,1234.0,2
1648,25,702889,sagittal,Sppl2a,signal peptide peptidase like 2A,47.0,66552.0,491928275.0,36411.0,2
1656,25,702889,sagittal,Ppp2r2b,"protein phosphatase 2, regulatory subunit B, beta",44.0,72930.0,491928275.0,55833.0,2
308054482,25,305626353,sagittal,Cplx2,complexin 2,39.0,12890.0,491928275.0,38212.0,2
2542,25,702883,sagittal,Ryk,receptor-like tyrosine kinase,54.0,20187.0,491928275.0,68287.0,2
1827,25,702883,sagittal,Rtn4rl1,reticulon 4 receptor-like 1,36.0,237847.0,491928275.0,18611.0,2
1845,25,702883,sagittal,Slc38a1,"solute carrier family 38, member 1",41.0,105727.0,491928275.0,12745.0,2
81600584,25,6514,sagittal,Disc1,disrupted in schizophrenia 1,53.0,244667.0,491928275.0,10257.0,2
69735694,25,69289638,sagittal,Kcnc3,"potassium voltage gated channel, Shaw-related subfamily, member 3",52.0,16504.0,491928275.0,3650.0,2
81790672,25,6518,sagittal,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",35.0,17684.0,491928275.0,4433.0,2
81790666,25,6518,sagittal,Nkx1-1,"NK1 transcription factor related, locus 1 (Drosophila)",50.0,672284.0,491928275.0,78303.0,2
308054556,25,305626353,sagittal,Arsg,arylsulfatase G,36.0,74008.0,491928275.0,8978.0,2
1983,25,702885,sagittal,Klhl24,kelch-like 24,42.0,75785.0,491928275.0,32352.0,2
69353548,25,68879796,sagittal,Gtf2ird2,GTF2I repeat domain containing 2,50.0,114674.0,491928275.0,24941.0,2
1710,25,702880,sagittal,Erbb2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",36.0,13866.0,491928275.0,3273.0,2
112,25,702656,sagittal,Arf3,ADP-ribosylation factor 3,41.0,11842.0,491928275.0,68195.0,2
308054630,25,305626353,sagittal,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,34.0,226970.0,491928275.0,49414.0,2
72739,25,45709,sagittal,Bcap29,B cell receptor associated protein 29,37.0,12033.0,491928275.0,22411.0,2
2602,25,702880,sagittal,Slc2a5,"solute carrier family 2 (facilitated glucose transporter), member 5",49.0,56485.0,491928275.0,74459.0,2
1676,25,702878,sagittal,Clptm1l,CLPTM1-like,39.0,218335.0,491928275.0,12767.0,2
308055062,25,305626353,sagittal,Aak1,AP2 associated kinase 1,51.0,269774.0,491928275.0,128746.0,2
1654,25,702878,sagittal,Srfbp1,serum response factor binding protein 1,44.0,67222.0,491928275.0,12101.0,2
783,25,702669,sagittal,Pde1a,"phosphodiesterase 1A, calmodulin-dependent",47.0,18573.0,491928275.0,21043.0,2
75988297,25,75343556,sagittal,Nsun3,NOL1/NOP2/Sun domain family member 3,42.0,106338.0,491928275.0,65358.0,2
308056537,25,305625968,sagittal,Efna1,ephrin A1,48.0,13636.0,491928275.0,3262.0,2
1855,25,702873,sagittal,Snap25,synaptosomal-associated protein 25,47.0,20614.0,491928275.0,13311.0,2
1947,25,702882,sagittal,Micu2,mitochondrial calcium uptake 2,40.0,68514.0,491928275.0,12516.0,2
71656781,25,70897099,sagittal,Pcyox1l,prenylcysteine oxidase 1 like,44.0,240334.0,491928275.0,23429.0,2
69735496,25,69289506,sagittal,Ipmk,inositol polyphosphate multikinase,35.0,69718.0,491928275.0,76214.0,2
1821,25,702877,sagittal,Rax,retina and anterior neural fold homeobox,44.0,19434.0,491928275.0,8383.0,2
